memberId,dodsId,pimsId,name,nameListed,nameInFull,gender,dateOfBirth,dateOfDeath,house,houseStartDate,houseEndDate,partyId,party,from,layingMinisterName,state,stateIsActive,stateReason,stateStartDate
2141,,,Lord Rothschild,"Rothschild, L.",The Lord Rothschild,M,1936-04-29T00:00:00,,Lords,1990-03-20T00:00:00,1999-11-11T00:00:00,6,Crossbench,Hereditary,,,false,,
2563,,,Lord Rothschild,"Rothschild, L.",The Lord Rothschild,M,1910-10-31T00:00:00,1990-03-20T00:00:00,Lords,1937-08-27T00:00:00,1990-03-20T00:00:00,21,Other,Hereditary,,,false,,
2140,,,Lord Rowallan,"Rowallan, L.",The Lord Rowallan,M,1947-03-08T00:00:00,,Lords,1993-06-24T00:00:00,1999-11-11T00:00:00,4,Conservative,Hereditary,,,false,,
3108,,,Lord Rowallan,"Rowallan, L.",The Lord Rowallan,M,1919-12-17T00:00:00,1993-06-24T00:00:00,Lords,1977-11-30T00:00:00,1993-06-24T00:00:00,21,Other,Hereditary,,,false,,
81,,480,Mr Andrew Rowe,"Rowe, Mr Andrew",Mr Andrew Rowe,M,1935-09-11T00:00:00,2008-11-21T00:00:00,Commons,1983-06-09T00:00:00,2001-06-07T00:00:00,4,Conservative,Faversham & Mid Kent,,,false,,
3806,54210,5104,Lord Rowe-Beddoe,"Rowe-Beddoe, L.",The Lord Rowe-Beddoe,M,1937-12-19T00:00:00,,Lords,2006-06-15T00:00:00,,6,Crossbench,Life peer,,Current Member,true,,2006-06-15T00:00:00
1558,31689,4841,Paul Rowen,"Rowen, Paul",Paul Rowen,M,1955-05-11T00:00:00,,Commons,2005-05-05T00:00:00,2010-05-06T00:00:00,17,Liberal Democrat,Rochdale,,,false,,
554,32309,481,Lord Rowlands,"Rowlands, L.",The Lord Rowlands CBE,M,1940-01-23T00:00:00,,Lords,2004-06-28T00:00:00,,15,Labour,Life peer,,Current Member,true,,2004-06-28T00:00:00
2139,,,The Duke of Roxburghe,"Roxburghe, D.",His Grace the Duke of Roxburghe,M,1954-11-18T00:00:00,,Lords,1974-09-26T00:00:00,1999-11-11T00:00:00,4,Conservative,Hereditary,,,false,,
626,25362,484,Mr Frank Roy,"Roy, Mr Frank",Mr Frank Roy,M,1958-08-29T00:00:00,,Commons,1997-05-01T00:00:00,2015-03-30T00:00:00,15,Labour,Motherwell and Wishaw,,,false,,
